abort_reason,batch,cache_type,context,directory,micro_batch,pause_count,paused_seconds,phase,precision,recorded_exit,server_label
available_ram_below_operational_limit,512,q8_0,147456,artifacts/experiments/qiskit-dataset-five-device-expected-fidelity-mqt-predictor-2.4-v2/llm_selection/servers/qwen-chat-20260916-001149,128,0,0,historical_unknown,Q8_0,True,qwen-chat-20260916-001149
available_ram_below_operational_limit,512,q8_0,147456,artifacts/experiments/qiskit-dataset-five-device-expected-fidelity-mqt-predictor-2.4-v2/llm_selection/servers/qwen-chat-20260918-083154,128,0,0,historical_unknown,Q8_0,True,qwen-chat-20260918-083154
,512,q8_0,147456,artifacts/experiments/qiskit-dataset-five-device-expected-fidelity-mqt-predictor-2.4-v2/llm_selection/servers/qwen-chat-20260918-083831,128,,,historical_unknown,Q8_0,False,qwen-chat-20260918-083831
,512,q4_0,147456,artifacts/experiments/qiskit-dataset-five-device-expected-fidelity-mqt-predictor-2.4-v2/llm_selection/servers/qwen-chat-20260918-085144,128,,,historical_unknown,Q8_0,False,qwen-chat-20260918-085144
,512,q8_0,147456,artifacts/experiments/qiskit-dataset-five-device-expected-fidelity-mqt-predictor-2.4-v2/llm_selection/servers/qwen-prompt-v2-02-qwen,128,0,0,train_technical,Q8_0,True,qwen-prompt-v2-02-qwen
,512,q8_0,147456,artifacts/experiments/qiskit-dataset-five-device-expected-fidelity-mqt-predictor-2.4-v2/llm_selection/servers/qwen-prompt-v3-01-qwen,128,0,0,train_technical,Q8_0,True,qwen-prompt-v3-01-qwen
available_ram_below_operational_limit,64,q8_0,147456,artifacts/experiments/qiskit-dataset-five-device-expected-fidelity-mqt-predictor-2.4-v2/llm_selection/servers/qwen-prova-01-qwen,16,0,0,train_technical,Q8_0,True,qwen-prova-01-qwen
available_ram_below_operational_limit,64,q8_0,147456,artifacts/experiments/qiskit-dataset-five-device-expected-fidelity-mqt-predictor-2.4-v2/llm_selection/servers/qwen-prova-02-qwen,16,0,0,train_technical,Q8_0,True,qwen-prova-02-qwen
monitor_failure,64,q8_0,147456,artifacts/experiments/qiskit-dataset-five-device-expected-fidelity-mqt-predictor-2.4-v2/llm_selection/servers/qwen-prova-03-qwen,16,41,81.7632597,train_technical,Q8_0,True,qwen-prova-03-qwen
available_ram_below_operational_limit,64,q8_0,147456,artifacts/experiments/qiskit-dataset-five-device-expected-fidelity-mqt-predictor-2.4-v2/llm_selection/servers/qwen-prova-04-qwen,16,586,3558.531328599997,train_technical,Q8_0,True,qwen-prova-04-qwen
available_ram_below_operational_limit,512,q8_0,147456,artifacts/experiments/qiskit-dataset-five-device-expected-fidelity-mqt-predictor-2.4-v2/llm_selection/servers/qwen-prova-05-qwen,128,0,0,train_technical,Q8_0,True,qwen-prova-05-qwen
,512,q8_0,147456,artifacts/experiments/qiskit-dataset-five-device-expected-fidelity-mqt-predictor-2.4-v2/llm_selection/servers/qwen-prova-06-qwen,128,0,0,train_technical,Q8_0,True,qwen-prova-06-qwen
,512,q8_0,147456,artifacts/experiments/qiskit-dataset-five-device-expected-fidelity-mqt-predictor-2.4-v2/llm_selection/servers/qwen-prova-07-qwen,128,0,0,train_technical,Q8_0,True,qwen-prova-07-qwen
,512,q8_0,147456,artifacts/experiments/qiskit-dataset-five-device-expected-fidelity-mqt-predictor-2.4-v2/llm_selection/servers/qwen-prova-08-qwen,128,,,train_technical,Q8_0,False,qwen-prova-08-qwen
available_ram_below_operational_limit,512,q8_0,147456,artifacts/experiments/qiskit-dataset-five-device-expected-fidelity-mqt-predictor-2.4-v2/llm_selection/servers/qwen-prova-09-qwen,128,0,0,train_technical,Q8_0,True,qwen-prova-09-qwen
gpu_temperature_operational_limit,512,q8_0,147456,artifacts/experiments/qiskit-dataset-five-device-expected-fidelity-mqt-predictor-2.4-v2/llm_selection/servers/qwen-prova-10-qwen,128,0,0,train_technical,Q8_0,True,qwen-prova-10-qwen
gpu_temperature_operational_limit,512,q8_0,147456,artifacts/experiments/qiskit-dataset-five-device-expected-fidelity-mqt-predictor-2.4-v2/llm_selection/servers/qwen-prova-11-qwen,128,0,0,train_technical,Q8_0,True,qwen-prova-11-qwen
available_ram_below_operational_limit,128,q8_0,163840,artifacts/experiments/qiskit-dataset-five-device-expected-fidelity-mqt-predictor-2.4-v2/llm_selection/servers/qwen-q8-164k-guard01,64,,,historical_unknown,Q8_0,True,qwen-q8-164k-guard01
gpu_temperature_operational_limit,128,q8_0,163840,artifacts/experiments/qiskit-dataset-five-device-expected-fidelity-mqt-predictor-2.4-v2/llm_selection/servers/qwen-q8-164k-guard02,64,,,historical_unknown,Q8_0,True,qwen-q8-164k-guard02
gpu_temperature_operational_limit,128,q8_0,163840,artifacts/experiments/qiskit-dataset-five-device-expected-fidelity-mqt-predictor-2.4-v2/llm_selection/servers/qwen-q8-164k-pause03,64,74,164.03227679999998,historical_unknown,Q8_0,True,qwen-q8-164k-pause03
,64,q8_0,163840,artifacts/experiments/qiskit-dataset-five-device-expected-fidelity-mqt-predictor-2.4-v2/llm_selection/servers/qwen-q8-164k-pause04,16,,,historical_unknown,Q8_0,False,qwen-q8-164k-pause04
,512,q8_0,60000,artifacts/experiments/qiskit-dataset-five-device-expected-fidelity-mqt-predictor-2.4-v2/llm_selection/servers/qwen-toon-01-qwen,128,0,0,train_technical,Q8_0,True,qwen-toon-01-qwen
gpu_temperature_operational_limit,512,q8_0,60000,artifacts/experiments/qiskit-dataset-five-device-expected-fidelity-mqt-predictor-2.4-v2/llm_selection/servers/validation-avvio-20260919-125710-qwen,128,20,27.473700499999996,validation,Q8_0,True,validation-avvio-20260919-125710-qwen
gpu_temperature_operational_limit,512,q8_0,60000,artifacts/experiments/qiskit-dataset-five-device-expected-fidelity-mqt-predictor-2.4-v2/llm_selection/servers/validation-avvio-20260919-132642-phi,128,93,123.03183789999996,validation,Q8_0,True,validation-avvio-20260919-132642-phi
,512,q8_0,60000,artifacts/experiments/qiskit-dataset-five-device-expected-fidelity-mqt-predictor-2.4-v2/llm_selection/servers/validation-avvio-20260919-132642-qwen,128,58,82.98418679999996,validation,Q8_0,True,validation-avvio-20260919-132642-qwen
available_ram_below_operational_limit,512,q8_0,60000,artifacts/experiments/qiskit-dataset-five-device-expected-fidelity-mqt-predictor-2.4-v2/llm_selection/servers/validation-avvio-20260919-154905-gemma,128,0,0,validation,Q8_0,True,validation-avvio-20260919-154905-gemma
,512,q8_0,60000,artifacts/experiments/qiskit-dataset-five-device-expected-fidelity-mqt-predictor-2.4-v2/llm_selection/servers/validation-avvio-20260919-154905-phi,128,100,127.08003149999995,validation,Q8_0,True,validation-avvio-20260919-154905-phi
available_ram_below_operational_limit,512,q8_0,60000,artifacts/experiments/qiskit-dataset-five-device-expected-fidelity-mqt-predictor-2.4-v2/llm_selection/servers/validation-avvio-20260919-164336-gemma,128,0,0,validation,Q8_0,True,validation-avvio-20260919-164336-gemma
,512,q8_0,60000,artifacts/experiments/qiskit-dataset-five-device-expected-fidelity-mqt-predictor-2.4-v2/llm_selection/servers/validation-avvio-20260919-165055-gemma,128,19,24.7873642,validation,Q8_0,True,validation-avvio-20260919-165055-gemma
