cache_type,circuit_id,configuration,context,directory,failure_category,label,llm_calls,model,precision,repair_count,split,status
q8_0,ae_indep_qiskit_60,p1_t0,30000,artifacts/experiments/qiskit-dataset-five-device-expected-fidelity-mqt-predictor-2.4-v2/llm_selection/technical_episodes/phi-prompt-v3-01/phi/p1_t0/ae_indep_qiskit_60,,phi-prompt-v3-01,1,phi,Q8_0,0,train,success
q8_0,dj_indep_tket_2,p1_t0,30000,artifacts/experiments/qiskit-dataset-five-device-expected-fidelity-mqt-predictor-2.4-v2/llm_selection/technical_episodes/phi-prompt-v3-01/phi/p1_t0/dj_indep_tket_2,,phi-prompt-v3-01,1,phi,Q8_0,0,train,success
q8_0,portfoliovqe_indep_qiskit_6,p1_t0,30000,artifacts/experiments/qiskit-dataset-five-device-expected-fidelity-mqt-predictor-2.4-v2/llm_selection/technical_episodes/phi-prompt-v3-01/phi/p1_t0/portfoliovqe_indep_qiskit_6,invalid_output,phi-prompt-v3-01,3,phi,Q8_0,2,train,failure
q8_0,su2random_indep_qiskit_50,p1_t0,30000,artifacts/experiments/qiskit-dataset-five-device-expected-fidelity-mqt-predictor-2.4-v2/llm_selection/technical_episodes/phi-prompt-v3-01/phi/p1_t0/su2random_indep_qiskit_50,,phi-prompt-v3-01,1,phi,Q8_0,0,train,success
q8_0,su2random_indep_tket_50,p1_t0,30000,artifacts/experiments/qiskit-dataset-five-device-expected-fidelity-mqt-predictor-2.4-v2/llm_selection/technical_episodes/phi-prompt-v3-01/phi/p1_t0/su2random_indep_tket_50,,phi-prompt-v3-01,1,phi,Q8_0,0,train,success
q8_0,ae_indep_qiskit_60,p1_t0,30000,artifacts/experiments/qiskit-dataset-five-device-expected-fidelity-mqt-predictor-2.4-v2/llm_selection/technical_episodes/phi-prompt-v3-02/phi/p1_t0/ae_indep_qiskit_60,,phi-prompt-v3-02,1,phi,Q8_0,0,train,success
q8_0,dj_indep_tket_2,p1_t0,30000,artifacts/experiments/qiskit-dataset-five-device-expected-fidelity-mqt-predictor-2.4-v2/llm_selection/technical_episodes/phi-prompt-v3-02/phi/p1_t0/dj_indep_tket_2,,phi-prompt-v3-02,1,phi,Q8_0,0,train,success
q8_0,portfoliovqe_indep_qiskit_6,p1_t0,30000,artifacts/experiments/qiskit-dataset-five-device-expected-fidelity-mqt-predictor-2.4-v2/llm_selection/technical_episodes/phi-prompt-v3-02/phi/p1_t0/portfoliovqe_indep_qiskit_6,invalid_output,phi-prompt-v3-02,3,phi,Q8_0,2,train,failure
q8_0,su2random_indep_qiskit_50,p1_t0,30000,artifacts/experiments/qiskit-dataset-five-device-expected-fidelity-mqt-predictor-2.4-v2/llm_selection/technical_episodes/phi-prompt-v3-02/phi/p1_t0/su2random_indep_qiskit_50,,phi-prompt-v3-02,1,phi,Q8_0,0,train,success
q8_0,su2random_indep_tket_50,p1_t0,30000,artifacts/experiments/qiskit-dataset-five-device-expected-fidelity-mqt-predictor-2.4-v2/llm_selection/technical_episodes/phi-prompt-v3-02/phi/p1_t0/su2random_indep_tket_50,,phi-prompt-v3-02,1,phi,Q8_0,0,train,success
q4_0,ae_indep_qiskit_60,p1_t0,114688,artifacts/experiments/qiskit-dataset-five-device-expected-fidelity-mqt-predictor-2.4-v2/llm_selection/technical_episodes/phi-prova-01/phi/p1_t0/ae_indep_qiskit_60,timeout,phi-prova-01,1,phi,BF16,0,train,timeout
q4_0,dj_indep_tket_2,p1_t0,114688,artifacts/experiments/qiskit-dataset-five-device-expected-fidelity-mqt-predictor-2.4-v2/llm_selection/technical_episodes/phi-prova-01/phi/p1_t0/dj_indep_tket_2,timeout,phi-prova-01,1,phi,BF16,0,train,timeout
q4_0,portfoliovqe_indep_qiskit_6,p1_t0,114688,artifacts/experiments/qiskit-dataset-five-device-expected-fidelity-mqt-predictor-2.4-v2/llm_selection/technical_episodes/phi-prova-01/phi/p1_t0/portfoliovqe_indep_qiskit_6,timeout,phi-prova-01,1,phi,BF16,0,train,timeout
q4_0,su2random_indep_qiskit_50,p1_t0,114688,artifacts/experiments/qiskit-dataset-five-device-expected-fidelity-mqt-predictor-2.4-v2/llm_selection/technical_episodes/phi-prova-01/phi/p1_t0/su2random_indep_qiskit_50,timeout,phi-prova-01,1,phi,BF16,0,train,timeout
q4_0,su2random_indep_tket_50,p1_t0,114688,artifacts/experiments/qiskit-dataset-five-device-expected-fidelity-mqt-predictor-2.4-v2/llm_selection/technical_episodes/phi-prova-01/phi/p1_t0/su2random_indep_tket_50,timeout,phi-prova-01,1,phi,BF16,0,train,timeout
q8_0,ae_indep_qiskit_60,p1_t0,60000,artifacts/experiments/qiskit-dataset-five-device-expected-fidelity-mqt-predictor-2.4-v2/llm_selection/technical_episodes/phi-toon-01/phi/p1_t0/ae_indep_qiskit_60,,phi-toon-01,1,phi,Q8_0,0,train,success
q8_0,dj_indep_tket_2,p1_t0,60000,artifacts/experiments/qiskit-dataset-five-device-expected-fidelity-mqt-predictor-2.4-v2/llm_selection/technical_episodes/phi-toon-01/phi/p1_t0/dj_indep_tket_2,,phi-toon-01,1,phi,Q8_0,0,train,success
q8_0,portfoliovqe_indep_qiskit_6,p1_t0,60000,artifacts/experiments/qiskit-dataset-five-device-expected-fidelity-mqt-predictor-2.4-v2/llm_selection/technical_episodes/phi-toon-01/phi/p1_t0/portfoliovqe_indep_qiskit_6,,phi-toon-01,1,phi,Q8_0,0,train,success
q8_0,su2random_indep_qiskit_50,p1_t0,60000,artifacts/experiments/qiskit-dataset-five-device-expected-fidelity-mqt-predictor-2.4-v2/llm_selection/technical_episodes/phi-toon-01/phi/p1_t0/su2random_indep_qiskit_50,,phi-toon-01,1,phi,Q8_0,0,train,success
q8_0,su2random_indep_tket_50,p1_t0,60000,artifacts/experiments/qiskit-dataset-five-device-expected-fidelity-mqt-predictor-2.4-v2/llm_selection/technical_episodes/phi-toon-01/phi/p1_t0/su2random_indep_tket_50,,phi-toon-01,1,phi,Q8_0,0,train,success
q8_0,su2random_indep_tket_50,p0_t0,163840,artifacts/experiments/qiskit-dataset-five-device-expected-fidelity-mqt-predictor-2.4-v2/llm_selection/technical_episodes/qwen-bf16-164k-kv8-probe01/qwen/p0_t0/su2random_indep_tket_50,interrupted_attempt,qwen-bf16-164k-kv8-probe01,1,qwen,BF16,0,train,failure
f16,su2random_indep_tket_50,p0_t0,196608,artifacts/experiments/qiskit-dataset-five-device-expected-fidelity-mqt-predictor-2.4-v2/llm_selection/technical_episodes/qwen-bf16-196k-probe01/qwen/p0_t0/su2random_indep_tket_50,transport_failure,qwen-bf16-196k-probe01,1,qwen,BF16,0,train,failure
q8_0,dj_indep_tket_2,p1_t0,147456,artifacts/experiments/qiskit-dataset-five-device-expected-fidelity-mqt-predictor-2.4-v2/llm_selection/technical_episodes/qwen-bf16-graph-safe01/qwen/p1_t0/dj_indep_tket_2,infrastructure_failure,qwen-bf16-graph-safe01,0,qwen,BF16,0,train,failure
q8_0,dj_indep_tket_2,p1_t0,147456,artifacts/experiments/qiskit-dataset-five-device-expected-fidelity-mqt-predictor-2.4-v2/llm_selection/technical_episodes/qwen-prompt-v2-02/qwen/p1_t0/dj_indep_tket_2,invalid_output,qwen-prompt-v2-02,3,qwen,Q8_0,2,train,failure
q8_0,ae_indep_qiskit_60,p1_t0,147456,artifacts/experiments/qiskit-dataset-five-device-expected-fidelity-mqt-predictor-2.4-v2/llm_selection/technical_episodes/qwen-prompt-v3-01/qwen/p1_t0/ae_indep_qiskit_60,,qwen-prompt-v3-01,1,qwen,Q8_0,0,train,success
q8_0,dj_indep_tket_2,p1_t0,147456,artifacts/experiments/qiskit-dataset-five-device-expected-fidelity-mqt-predictor-2.4-v2/llm_selection/technical_episodes/qwen-prompt-v3-01/qwen/p1_t0/dj_indep_tket_2,,qwen-prompt-v3-01,1,qwen,Q8_0,0,train,success
q8_0,portfoliovqe_indep_qiskit_6,p1_t0,147456,artifacts/experiments/qiskit-dataset-five-device-expected-fidelity-mqt-predictor-2.4-v2/llm_selection/technical_episodes/qwen-prompt-v3-01/qwen/p1_t0/portfoliovqe_indep_qiskit_6,,qwen-prompt-v3-01,1,qwen,Q8_0,0,train,success
q8_0,su2random_indep_qiskit_50,p1_t0,147456,artifacts/experiments/qiskit-dataset-five-device-expected-fidelity-mqt-predictor-2.4-v2/llm_selection/technical_episodes/qwen-prompt-v3-01/qwen/p1_t0/su2random_indep_qiskit_50,,qwen-prompt-v3-01,1,qwen,Q8_0,0,train,success
q8_0,su2random_indep_tket_50,p1_t0,147456,artifacts/experiments/qiskit-dataset-five-device-expected-fidelity-mqt-predictor-2.4-v2/llm_selection/technical_episodes/qwen-prompt-v3-01/qwen/p1_t0/su2random_indep_tket_50,,qwen-prompt-v3-01,1,qwen,Q8_0,0,train,success
q8_0,ae_indep_qiskit_60,p1_t0,147456,artifacts/experiments/qiskit-dataset-five-device-expected-fidelity-mqt-predictor-2.4-v2/llm_selection/technical_episodes/qwen-prova-01/qwen/p1_t0/ae_indep_qiskit_60,infrastructure_failure,qwen-prova-01,0,qwen,Q8_0,0,train,failure
q8_0,ae_indep_qiskit_60,p1_t0,147456,artifacts/experiments/qiskit-dataset-five-device-expected-fidelity-mqt-predictor-2.4-v2/llm_selection/technical_episodes/qwen-prova-02/qwen/p1_t0/ae_indep_qiskit_60,infrastructure_failure,qwen-prova-02,0,qwen,Q8_0,0,train,failure
q8_0,ae_indep_qiskit_60,p1_t0,147456,artifacts/experiments/qiskit-dataset-five-device-expected-fidelity-mqt-predictor-2.4-v2/llm_selection/technical_episodes/qwen-prova-03/qwen/p1_t0/ae_indep_qiskit_60,transport_failure,qwen-prova-03,1,qwen,Q8_0,0,train,failure
q8_0,ae_indep_qiskit_60,p1_t0,147456,artifacts/experiments/qiskit-dataset-five-device-expected-fidelity-mqt-predictor-2.4-v2/llm_selection/technical_episodes/qwen-prova-04/qwen/p1_t0/ae_indep_qiskit_60,timeout,qwen-prova-04,1,qwen,Q8_0,0,train,timeout
q8_0,dj_indep_tket_2,p1_t0,147456,artifacts/experiments/qiskit-dataset-five-device-expected-fidelity-mqt-predictor-2.4-v2/llm_selection/technical_episodes/qwen-prova-04/qwen/p1_t0/dj_indep_tket_2,transport_failure,qwen-prova-04,1,qwen,Q8_0,0,train,failure
q8_0,ae_indep_qiskit_60,p1_t0,147456,artifacts/experiments/qiskit-dataset-five-device-expected-fidelity-mqt-predictor-2.4-v2/llm_selection/technical_episodes/qwen-prova-05/qwen/p1_t0/ae_indep_qiskit_60,timeout,qwen-prova-05,1,qwen,Q8_0,0,train,timeout
q8_0,dj_indep_tket_2,p1_t0,147456,artifacts/experiments/qiskit-dataset-five-device-expected-fidelity-mqt-predictor-2.4-v2/llm_selection/technical_episodes/qwen-prova-05/qwen/p1_t0/dj_indep_tket_2,transport_failure,qwen-prova-05,1,qwen,Q8_0,0,train,failure
q8_0,ae_indep_qiskit_60,p1_t0,147456,artifacts/experiments/qiskit-dataset-five-device-expected-fidelity-mqt-predictor-2.4-v2/llm_selection/technical_episodes/qwen-prova-06/qwen/p1_t0/ae_indep_qiskit_60,timeout,qwen-prova-06,1,qwen,Q8_0,0,train,timeout
q8_0,dj_indep_tket_2,p1_t0,147456,artifacts/experiments/qiskit-dataset-five-device-expected-fidelity-mqt-predictor-2.4-v2/llm_selection/technical_episodes/qwen-prova-06/qwen/p1_t0/dj_indep_tket_2,timeout,qwen-prova-06,1,qwen,Q8_0,0,train,timeout
q8_0,portfoliovqe_indep_qiskit_6,p1_t0,147456,artifacts/experiments/qiskit-dataset-five-device-expected-fidelity-mqt-predictor-2.4-v2/llm_selection/technical_episodes/qwen-prova-06/qwen/p1_t0/portfoliovqe_indep_qiskit_6,timeout,qwen-prova-06,1,qwen,Q8_0,0,train,timeout
q8_0,su2random_indep_qiskit_50,p1_t0,147456,artifacts/experiments/qiskit-dataset-five-device-expected-fidelity-mqt-predictor-2.4-v2/llm_selection/technical_episodes/qwen-prova-06/qwen/p1_t0/su2random_indep_qiskit_50,timeout,qwen-prova-06,1,qwen,Q8_0,0,train,timeout
q8_0,su2random_indep_tket_50,p1_t0,147456,artifacts/experiments/qiskit-dataset-five-device-expected-fidelity-mqt-predictor-2.4-v2/llm_selection/technical_episodes/qwen-prova-06/qwen/p1_t0/su2random_indep_tket_50,timeout,qwen-prova-06,1,qwen,Q8_0,0,train,timeout
q8_0,ae_indep_qiskit_60,p1_t0,147456,artifacts/experiments/qiskit-dataset-five-device-expected-fidelity-mqt-predictor-2.4-v2/llm_selection/technical_episodes/qwen-prova-07/qwen/p1_t0/ae_indep_qiskit_60,infrastructure_failure,qwen-prova-07,1,qwen,Q8_0,0,train,failure
q8_0,dj_indep_tket_2,p1_t0,147456,artifacts/experiments/qiskit-dataset-five-device-expected-fidelity-mqt-predictor-2.4-v2/llm_selection/technical_episodes/qwen-prova-07/qwen/p1_t0/dj_indep_tket_2,infrastructure_failure,qwen-prova-07,1,qwen,Q8_0,0,train,failure
q8_0,portfoliovqe_indep_qiskit_6,p1_t0,147456,artifacts/experiments/qiskit-dataset-five-device-expected-fidelity-mqt-predictor-2.4-v2/llm_selection/technical_episodes/qwen-prova-07/qwen/p1_t0/portfoliovqe_indep_qiskit_6,infrastructure_failure,qwen-prova-07,1,qwen,Q8_0,0,train,failure
q8_0,su2random_indep_qiskit_50,p1_t0,147456,artifacts/experiments/qiskit-dataset-five-device-expected-fidelity-mqt-predictor-2.4-v2/llm_selection/technical_episodes/qwen-prova-07/qwen/p1_t0/su2random_indep_qiskit_50,timeout,qwen-prova-07,1,qwen,Q8_0,0,train,timeout
q8_0,su2random_indep_tket_50,p1_t0,147456,artifacts/experiments/qiskit-dataset-five-device-expected-fidelity-mqt-predictor-2.4-v2/llm_selection/technical_episodes/qwen-prova-07/qwen/p1_t0/su2random_indep_tket_50,timeout,qwen-prova-07,1,qwen,Q8_0,0,train,timeout
q8_0,ae_indep_qiskit_60,p1_t0,147456,artifacts/experiments/qiskit-dataset-five-device-expected-fidelity-mqt-predictor-2.4-v2/llm_selection/technical_episodes/qwen-prova-08/qwen/p1_t0/ae_indep_qiskit_60,,qwen-prova-08,,qwen,Q8_0,,train,interrupted_or_pending
q8_0,ae_indep_qiskit_60,p1_t0,147456,artifacts/experiments/qiskit-dataset-five-device-expected-fidelity-mqt-predictor-2.4-v2/llm_selection/technical_episodes/qwen-prova-10/qwen/p1_t0/ae_indep_qiskit_60,transport_failure,qwen-prova-10,2,qwen,Q8_0,1,train,failure
q8_0,ae_indep_qiskit_60,p1_t0,147456,artifacts/experiments/qiskit-dataset-five-device-expected-fidelity-mqt-predictor-2.4-v2/llm_selection/technical_episodes/qwen-prova-11/qwen/p1_t0/ae_indep_qiskit_60,transport_failure,qwen-prova-11,2,qwen,Q8_0,1,train,failure
q8_0,dj_indep_tket_2,p1_t0,163840,artifacts/experiments/qiskit-dataset-five-device-expected-fidelity-mqt-predictor-2.4-v2/llm_selection/technical_episodes/qwen-q8-guard-short01/qwen/p1_t0/dj_indep_tket_2,transport_failure,qwen-q8-guard-short01,1,qwen,Q8_0,0,train,failure
q8_0,dj_indep_tket_2,p1_t0,163840,artifacts/experiments/qiskit-dataset-five-device-expected-fidelity-mqt-predictor-2.4-v2/llm_selection/technical_episodes/qwen-q8-nommap-probe01/qwen/p1_t0/dj_indep_tket_2,transport_failure,qwen-q8-nommap-probe01,1,qwen,Q8_0,0,train,failure
q8_0,dj_indep_tket_2,p1_t0,163840,artifacts/experiments/qiskit-dataset-five-device-expected-fidelity-mqt-predictor-2.4-v2/llm_selection/technical_episodes/qwen-q8-paused-probe01/qwen/p1_t0/dj_indep_tket_2,transport_failure,qwen-q8-paused-probe01,1,qwen,Q8_0,0,train,failure
q8_0,dj_indep_tket_2,p1_t0,163840,artifacts/experiments/qiskit-dataset-five-device-expected-fidelity-mqt-predictor-2.4-v2/llm_selection/technical_episodes/qwen-q8-paused-probe02/qwen/p1_t0/dj_indep_tket_2,interrupted_attempt,qwen-q8-paused-probe02,1,qwen,Q8_0,0,train,failure
q8_0,ae_indep_qiskit_60,p1_t0,60000,artifacts/experiments/qiskit-dataset-five-device-expected-fidelity-mqt-predictor-2.4-v2/llm_selection/technical_episodes/qwen-toon-01/qwen/p1_t0/ae_indep_qiskit_60,,qwen-toon-01,1,qwen,Q8_0,0,train,success
q8_0,dj_indep_tket_2,p1_t0,60000,artifacts/experiments/qiskit-dataset-five-device-expected-fidelity-mqt-predictor-2.4-v2/llm_selection/technical_episodes/qwen-toon-01/qwen/p1_t0/dj_indep_tket_2,,qwen-toon-01,1,qwen,Q8_0,0,train,success
q8_0,portfoliovqe_indep_qiskit_6,p1_t0,60000,artifacts/experiments/qiskit-dataset-five-device-expected-fidelity-mqt-predictor-2.4-v2/llm_selection/technical_episodes/qwen-toon-01/qwen/p1_t0/portfoliovqe_indep_qiskit_6,,qwen-toon-01,1,qwen,Q8_0,0,train,success
q8_0,su2random_indep_qiskit_50,p1_t0,60000,artifacts/experiments/qiskit-dataset-five-device-expected-fidelity-mqt-predictor-2.4-v2/llm_selection/technical_episodes/qwen-toon-01/qwen/p1_t0/su2random_indep_qiskit_50,,qwen-toon-01,1,qwen,Q8_0,0,train,success
q8_0,su2random_indep_tket_50,p1_t0,60000,artifacts/experiments/qiskit-dataset-five-device-expected-fidelity-mqt-predictor-2.4-v2/llm_selection/technical_episodes/qwen-toon-01/qwen/p1_t0/su2random_indep_tket_50,,qwen-toon-01,1,qwen,Q8_0,0,train,success
